,Unnamed: 0,age,education,employment,meanhouseholdincome,log_income
152,153,39.735806,13.038075,1.996851055,61381.976,4.788040865068158
154,155,38.746888,14.444444,2.186046512,64872.093,4.812057910011112
156,157,38.822305,13.671439,1.929395791,63864.837,4.805261808078405
158,159,40.557361,13.6107,1.814243759,73353.187,4.865418987524165
160,161,43.705071,13.46544,2.022624434,58871.021,4.769901567845818
162,163,40.708014,12.127866,1.395400405,40161.813,4.603813309667925
164,165,36.777778,13.473881,1.96684492,53038.396,4.724590381556552
166,167,40.18156,15.966084,2.042076992,74725.895,4.873471125333715
168,169,43.491576,12.465275,1.823112198,52937.765,4.723765601705472
170,171,47.68487,14.892614,1.904525875,50352.651,4.70202234051751
172,173,41.956762,14.440216,1.975842271,59086.25,4.771486427685082
174,175,35.066866,13.946296,2.106035889,68411.591,4.835129690621685
176,177,38.748252,13.995025,1.769953052,51333.693,4.710402508987608
178,179,35.918,15.893574,2.341895483,66532.772,4.82303561812852
180,181,39.051613,12.241219,1.830953478,42440.111,4.62777651110641
182,183,43.239567,12.507203,1.793354743,45814.082,4.6609989888093875
184,185,43.157143,13.928571,1.446428571,55207.547,4.741998450852669
186,187,38.896429,13.679426,2.142857143,53532.847,4.728620340777624
188,189,36.20816,11.725699,1.385569335,41443.833,4.617459915023079
190,191,39.727509,14.380977,2.139312977,53301.471,4.72673919473703
192,193,41.055099,14.166667,1.845995893,63520.496,4.802913880622157
194,195,41.666667,11.9331,1.380139117,37716.903,4.576536024859843
196,197,44.205913,15.044613,1.630080367,92106.395,4.964289784559436
198,199,36.807348,12.718447,1.69269977,42752.603,4.630962561967614
200,201,41.921065,13.613072,1.83536063,54948.883,4.739958868518074
202,203,42.271713,12.919164,1.838948233,60708.791,4.783251584095864
204,205,45.344754,12.398971,1.645522848,42234.362,4.625665938036309
206,207,36.838728,13.11973,2.05239521,59761.698,4.776422928525446
208,209,42.88007,13.474368,1.83452789,57871.677,4.762466067490445
210,211,45.225676,14.083163,1.764992937,60380.813,4.780898956302792
212,213,45.639661,13.539097,1.785346308,60854.64,4.784293697595996
214,215,42.410761,13.533609,1.886869078,51220.821,4.709446535337254
216,217,47.98133,14.539271,1.570461538,52404.464,4.719368283319462
218,219,41.102564,12.533333,2.3,69207.317,4.840152013022277
222,223,45.472799,14.242967,1.937799043,76969.059,4.8863161770414125
224,225,42.785256,13.046185,1.862781955,47936.96,4.680670489082551
226,227,55.126984,14.527273,1.98245614,78220.588,4.8933210763079495
228,229,46.851554,13.688982,1.528735632,59313.793,4.773155697196353
230,231,44.03252,15.083333,1.758241758,75631.579,4.87870316748362
232,233,42.346041,14.697785,1.893333333,72111.814,4.858006420540556
234,235,44.225418,13.243343,1.688296128,42999.842,4.633466859796931
236,237,41.467827,12.476164,1.569106482,43180.212,4.635284770240086
238,239,41.964111,13.366234,1.983248022,54695.674,4.737952978395144
240,241,39.049601,13.59824,2.031735751,49747.361,4.696770047221714
242,243,38.689119,15.025827,2.310168252,66379.491,4.822033917901768
244,245,37.689283,12.663525,1.915070774,40300.885,4.6053145832725315
246,247,41.313003,13.913868,2.125468165,56144.168,4.749304650411154
248,249,40.040719,14.336106,1.97443609,55079.53,4.740990225715652
250,251,43.914573,13.729927,1.698113208,58312.5,4.7657616610905755
252,253,42.416947,13.958862,2.04460719,62940.344,4.798929112217073
254,255,49.121746,14.857391,2.192208628,47393.831,4.675721815576671
256,257,37.285881,14.788122,2.557142857,51856.841,4.714806057013836
258,259,39.497155,13.678477,1.948463357,63233.573,4.800947722226674
260,261,38.37402,16.304943,2.054267794,123375.178,5.091227792258135
262,263,40.170056,12.827642,1.736657838,54279.238,4.734633742180071
264,265,37.682937,13.605022,1.955220248,76598.856,4.884222283515145
266,267,47.475,15.56,1.674418605,134062.5,5.127307313864819
268,269,36.876054,13.56391,2.077176058,68583.78,4.836221417610384
270,271,38.664324,13.428031,1.746981237,66340.47,4.82177854402524
272,273,37.500053,12.627661,1.746676096,51128.436,4.708662508021699
274,275,42.737129,13.192583,1.812579941,60133.971,4.779119883812973
276,277,38.75729,13.93208,1.814364641,76828.298,4.885521212240602
278,279,39.730186,14.22813,1.712078209,79049.647,4.897899934909665
280,281,34.928515,13.329384,1.951683922,68273.073,4.834249451070621
282,283,40.413859,12.596587,1.951603146,61054.439,4.785717245072405
284,285,35.68557,14.514649,1.917385384,83652.373,4.922478265276752
286,287,35.651138,13.047497,2.082098062,58383.08,4.766287002466322
288,289,42.089418,13.917621,1.797790286,72844.408,4.862396218179353
290,291,42.389577,12.751356,1.849948899,59678.841,4.775820380279087
292,293,35.383247,13.231476,2.071245515,61135.819,4.7862957345648
294,295,36.734602,13.28223,2.051873199,62893.312,4.798604465541878
296,297,41.452574,12.737402,1.764590348,52305.717,4.718549159725019
298,299,38.218562,13.57991,1.870077291,63621.534,4.803604136316513
300,301,37.480497,12.960201,2.012077295,59688.89,4.775893502641763
302,303,42.469277,12.93859,1.760330579,69879.393,4.844349123873924
304,305,40.598894,11.845708,1.565996473,42959.773,4.633061977879864
306,307,44.329688,12.812437,1.90063234,49199.341,4.691959285653939
308,309,39.003045,12.727695,1.885788169,53998.575,4.732382299122922
310,311,38.755623,14.0268,2.018881627,81431.503,4.910792450740059
312,313,41.088986,13.837192,1.963323523,68542.844,4.835962120343074
314,315,36.457009,14.062356,1.693719125,91177.956,4.959889852091969
316,317,42.684158,12.173143,1.593023256,47990.695,4.681157039419384
318,319,38.82943,12.742785,1.767645314,57774.431,4.7617356769589865
320,321,35.058652,13.957013,1.990965834,81954.17,4.913571056282538
322,323,43.556422,13.904226,1.764917964,57447.781,4.759273258123221
324,325,42.08149,12.665138,1.603845868,46661.708,4.668960631615878
326,327,41.883119,13.215841,1.781688761,52217.092,4.717812682049941
328,329,32.759432,11.358219,1.366050261,24983.226,4.397648516645775
330,331,43.775557,11.685683,1.493229617,34050.504,4.532123544524838
332,333,41.488654,14.726319,1.799564863,84307.246,4.925864902769202
334,335,41.038388,13.37549,1.753117294,54987.829,4.740266573438333
336,337,41.775253,17.2375,2.688235294,107653.631,5.032028682526156
338,339,37.241199,15.615708,1.945168981,105294.015,5.022403686224949
340,341,42.042492,15.117204,1.751035197,99548.885,4.998036400063487
342,343,36.401768,15.734548,2.026964814,115274.85,5.0617345657713875
344,345,42.382451,15.822639,1.565970885,115801.386,5.06371375739271
346,347,38.314976,14.791778,1.909744487,91015.612,4.959115893682747
348,349,33.998941,14.891186,1.850134192,109840.829,5.040763801985134
350,351,39.671498,13.518811,1.906653884,68885.687,4.838128994002577
352,353,39.781008,13.767099,1.946328996,67091.901,4.826670097467071
354,355,36.793433,13.877712,1.991963837,80441.469,4.905479992963598
356,357,41.261958,14.700058,1.898758757,82641.753,4.917199520880298
358,359,37.034329,15.83904,1.520692974,139833.806,5.145612178451098
360,361,33.539199,15.294436,1.85518658,123433.8,5.091434099271788
362,363,36.386803,15.615042,1.640355984,133598.127,5.125800369522262
364,365,40.250882,15.652993,1.658486906,119940.776,5.078966854335242
366,367,41.810914,13.415615,1.860693718,64688.844,4.8108293902979025
368,369,40.532325,14.051741,1.916595258,85160.074,4.930236030147423
370,371,37.880857,13.243025,1.97459833,74515.591,4.8722471502899865
372,373,36.172782,14.408659,2.084440228,94021.248,4.973226011539707
374,375,36.933973,13.663225,1.880029261,83566.329,4.9220313243873415
376,377,39.094252,13.547596,1.969344802,64046.909,4.806498174882637
378,379,34.735511,11.104805,1.397066,36263.569,4.559470544401777
380,381,38.996584,11.634392,1.65608283,43937.267,4.642833039299715
382,383,41.331534,14.375296,1.69153772,88628.473,4.947573266810959
384,385,36.338106,12.199215,1.712200436,50468.244,4.703018194086223
386,387,39.848612,13.97136,1.918346628,68847.109,4.837885708257314
388,389,40.41445,14.454848,1.861380884,87580.109,4.942405481368428
390,391,35.51459,13.651198,2.074619416,77307.084,4.888219292122034
392,393,38.366335,13.590808,1.945777942,76632.786,4.884414614704963
394,395,39.445205,11.982341,1.575471698,45953.313,4.662316827272763
396,397,43.993224,14.536759,1.742610537,84633.516,4.927542383503879
398,399,38.976864,13.434021,1.878674219,60964.778,4.785078996679936
400,401,43.36097,13.778653,1.78635658,66724.852,4.824287619167607
402,403,36.427582,15.150157,1.726527051,132638.878,5.122670839499401
404,405,43.887129,13.662301,1.740341753,68918.274,4.838334392373464
406,407,42.04592,14.100694,1.75407879,71916.635,4.856829358437064
408,409,41.989814,15.245888,1.840691985,96510.152,4.984572999620277
410,411,38.92733,13.896629,1.828482972,87816.428,4.943575767869268
412,413,40.45941,14.476704,1.962738705,83724.876,4.922854513004313
414,415,36.73418,13.968388,1.982126058,77602.558,4.889876037069721
416,417,39.927709,14.696921,1.678197065,103824.658,5.0163005092116535
418,419,37.906847,15.118287,1.923867652,102750.537,5.011784100285599
420,421,37.992007,13.141586,2.122193878,69777.194,4.843713500869921
422,423,42.349413,14.173902,1.726080565,81352.831,4.910372670564648
424,425,40.261247,15.026029,1.63506292,100971.702,5.0041996768794865
426,427,40.118524,13.929121,1.892661642,80475.796,4.905665281060639
428,429,40.775025,14.866799,1.650512933,100349.145,5.0015136765408545
430,431,40.467069,13.764488,1.8944,63006.215,4.799383390835766
432,433,33.976752,14.185825,1.959639276,77251.259,4.887905566055411
434,435,38.340669,14.030852,1.922073874,76811.848,4.885428213835685
436,437,35.61509,15.176352,1.70291929,113803.051,5.056153905421991
438,439,37.43711,14.206554,1.951775823,73240.138,4.864749153933619
440,441,33.905913,14.456058,1.951533136,102637.569,5.0113063571004215
442,443,43.539022,13.873538,1.742649212,67190.243,4.827306211760494
444,445,40.996804,14.5023,1.770038577,86040.669,4.93470377853875
446,447,42.705552,13.263279,1.849764614,66604.112,4.823501042440302
448,449,42.635832,14.763265,1.621283814,106048.971,5.025506458885679
450,451,42.860223,16.395057,2.017049666,104214.829,5.0179295202558025
452,453,50.71211,15.587124,2.057049715,99428.36,4.997510276095563
454,455,39.515033,16.15792,2.088477801,80537.484,4.905998058075186
456,457,40.145135,15.658714,1.963965706,91737.663,4.96254767236527
458,459,40.078514,13.837488,1.753033603,66402.272,4.822182939310519
460,461,40.291868,12.835885,1.730823864,39667.46,4.598434392475649
462,463,37.895986,12.246914,1.511739339,49045.653,4.690600521159936
464,465,36.755266,12.630418,1.586753426,47843.358,4.679821654042431
466,467,37.78693,12.488801,1.600995025,47326.457,4.67510399310218
468,469,39.529744,11.329154,1.473706912,39749.347,4.599329998486172
470,471,40.976924,14.397776,1.852300816,62140.185,4.793372541876142
472,473,46.186897,14.135207,1.733162466,67659.439,4.830328392502887
474,475,43.635731,14.246029,1.975937325,42963.943,4.6331041317362205
476,477,41.40334,12.80948,1.628329298,48997.923,4.6901776708702085
478,479,45.996336,16.515583,1.805754692,79092.799,4.898136944977768
480,481,40.538191,15.267457,1.964851929,71622.417,4.855048972806168
482,483,53.424776,16.793039,1.837320574,85177.3,4.930323869434774
484,485,42.565589,14.433097,2.080304497,63657.347,4.803848534893381
486,487,41.957377,13.041311,1.806551284,54001.018,4.73240194700103
488,489,38.117254,11.22708,1.386448311,41064.834,4.613470071579997
490,491,44.715771,13.472062,1.803350419,63832.447,4.8050414933132055
492,493,44.887558,13.463245,1.887144756,60908.811,4.784680121728001
494,495,42.776759,14.020381,1.851186574,73501.794,4.866297939285449
496,497,43.307496,13.592557,1.729063267,66084.678,4.820100778223906
498,499,43.75943,13.552695,1.728872992,72729.032,4.8617078072901725
500,501,42.539719,14.723444,1.768680834,94950.926,4.97749920450989
502,503,43.691513,13.257454,1.753755156,58017.071,4.763555799602
504,505,39.56343,13.649887,1.917908701,65553.739,4.816597467662376
506,507,42.778761,15.900585,2.125628141,89229.443,4.950508181983179
510,511,40.597635,12.319161,1.811125147,52030.964,4.716261872330827
512,513,37.911329,13.193756,1.906113102,69977.58,4.844958919415551
514,515,37.920321,13.936732,1.903828851,88210.758,4.945521554010759
516,517,37.336226,13.631997,1.987083333,71995.368,4.8573045559208365
518,519,40.650706,13.096078,1.740106457,60389.008,4.780957895585059
520,521,37.66983,13.574425,1.932571429,77906.359,4.891572907812464
522,523,38.414028,13.307908,1.96489873,64378.45,4.808740516236664
524,525,37.521032,13.56012,1.94176058,75165.872,4.876020700081821
526,527,37.888208,13.69022,2.018572825,78391.252,4.894267600693311
528,529,37.7511,13.979096,2.132093023,77119.189,4.887162453795749
530,531,44.05576,13.034146,1.702961358,63634.734,4.803694233052363
532,533,45.022165,15.648417,1.644586389,112236.783,5.050135210182004
534,535,40.909927,16.243997,1.933256566,99711.467,4.998745105838791
536,537,42.957686,13.720265,1.878254158,67829.146,4.831416349133099
538,539,43.558623,13.621306,1.890307074,59662.858,4.775704053315353
540,541,42.182158,15.951671,1.709514938,116983.97,5.068126355613705
542,543,39.856146,16.248832,2.127072927,112272.986,5.05027527324772
544,545,42.751294,15.204689,1.812030075,101030.723,5.004453460915453
546,547,54.340349,15.900452,1.600184767,105670.249,5.023952730790461
548,549,40.432685,16.285072,1.431172955,136865.32,5.136293417157729
550,551,43.449302,15.98362,1.399799822,155789.599,5.1925384594489294
552,553,43.473104,15.140715,1.818756586,64417.683,4.8090050998936205
554,555,40.938572,14.586848,1.538511608,79304.022,4.899295213649403
556,557,41.75929,13.968284,1.865666553,60425.86,4.781222840140451
558,559,45.08761,16.127186,1.510608204,68347.445,4.834722284183413
560,561,47.127273,14.082411,1.738219895,59591.343,4.775183173156231
562,563,41.959579,14.140117,1.765932491,56666.987,4.753330121692832
564,565,44.031353,12.694746,1.708383961,45638.079,4.659327355788733
566,567,48.066268,14.392318,1.637151703,81854.48,4.91304245388888
568,569,48.065818,13.841804,1.484689143,62661.986,4.797004155230857
570,571,50.987516,14.206802,1.347596555,62457.859,4.795587092919758
572,573,47.283876,14.277081,1.391758918,53755.595,4.7304236732605425
574,575,34.858266,13.759664,2.108469539,70982.049,4.851148531733885
576,577,54.680038,14.141907,1.154347826,49955.148,4.698580249975199
578,579,37.94986,13.695867,1.999119408,66426.663,4.82234243583629
582,583,43.54823,13.99566,1.620661157,48235.581,4.683367513990674
584,585,49.800802,13.65481,1.410038023,50605.553,4.704198175040144
586,587,52.096174,13.185294,1.220172338,44750.785,4.650800657935241
588,589,48.763889,14.76176,1.524613221,55705.331,4.745896759143137
590,591,39.81371,14.448246,1.754985755,78713.278,4.896047998886738
592,593,50.829282,13.781768,1.132198953,50598.391,4.704136706742335
594,595,49.176991,13.704082,0.795918367,101029.412,5.004447825364771
596,597,41.654222,13.109398,2.228462029,71407.664,4.853744825981873
598,599,36.013369,12.41408,2.034326297,58899.139,4.770108946225438
600,601,44.284832,11.922973,1.603696858,44585.914,4.649197673996561
602,603,43.153914,10.87821,1.573987965,33560.674,4.52583067419306
604,605,46.286272,12.658181,1.702019826,58970.842,4.770637328784134
606,607,41.490514,14.769025,1.762128713,84455.271,4.926626759825052
608,609,43.686381,11.416284,1.45262034,36575.532,4.563190651762053
610,611,40.463793,10.587013,1.444223767,33885.212,4.530010207111713
612,613,38.039043,10.200086,1.364430967,27882.461,4.445331103412725
614,615,46.318697,12.835853,1.602166215,63964.989,4.805942329537478
616,617,38.313684,13.639305,2.003067485,66605.981,4.8235132291503096
618,619,40.260456,13.135222,1.955313808,65993.604,4.819501846418999
620,621,40.096478,13.474751,1.881666141,63717.137,4.804256253427968
622,623,38.019378,13.578286,1.939092471,70507.762,4.848236929873812
624,625,36.743057,10.609348,0.623968676,17110.989,4.233275112102731
626,627,38.64022,10.978606,0.738380362,19545.958,4.291056961231174
628,629,36.623525,10.868303,0.801264322,19109.252,4.281243687649974
630,631,39.595285,11.329595,0.922295468,21591.532,4.3342834582463
632,633,37.438428,10.993238,0.819092866,20005.675,4.301153209243121
634,635,42.790445,10.385185,0.727602906,12013.343,4.079663877047266
636,637,38.07951,11.155877,0.818049207,19188.842,4.2830487669092845
638,639,37.603488,11.000371,0.663059518,16687.415,4.22238906656633
640,641,41.863923,10.991006,0.517680339,16636.486,4.221061598879433
642,643,37.756988,10.905893,0.690449794,16962.918,4.229500562678507
644,645,37.672499,11.147888,0.715974378,20752.277,4.317065755712278
646,647,39.422792,10.872982,0.722170165,20478.255,4.311292946631975
648,649,36.521955,10.518219,0.668526877,15795.294,4.198527713899882
650,651,40.262837,10.547356,0.758831004,18673.953,4.271236261407414
652,653,39.128333,11.547123,0.822180001,21453.438,4.331496899540994
654,655,38.115465,10.609852,0.722422062,17980.088,4.25479181297123
656,657,34.019757,10.940512,0.721517189,18932.804,4.277214938926601
658,659,37.02994,11.302417,0.801531949,22683.871,4.35571716884904
660,661,36.646174,11.117911,0.751520737,20650.43,4.314929099318468
662,663,36.825499,11.351899,0.771359271,20541.558,4.31263338011531
664,665,37.399046,11.018194,0.731540139,17320.397,4.23855784223868
666,667,39.354023,10.590127,0.490322581,17294.856,4.237916950353517
668,669,44.729138,12.236591,0.759284929,20415.119,4.309951915774701
670,671,36.257212,10.956959,0.666026169,19110.338,4.281268368386082
672,673,37.092611,11.199144,0.672393443,18656.71,4.270835060909903
674,675,38.695946,12.004939,0.970143636,25698.048,4.409900135976247
676,677,35.103314,11.460299,0.82722254,20502.227,4.311801037703606
678,679,36.486591,11.529953,0.810376891,24476.014,4.388740692936158
680,681,37.167499,11.836541,0.937533328,22943.999,4.36066911505925
682,683,35.70979,11.564338,0.805600609,24849.647,4.395320223771926
684,685,38.084141,11.819843,0.82966796,20073.898,4.302631713071242
686,687,36.34023,11.661206,0.851855592,23242.628,4.3662852313504885
688,689,36.731633,11.233369,0.69762608,19159.0,4.28237283742438
690,691,34.914773,11.346375,0.840551181,19334.356,4.286329710916234
692,693,39.06554,10.858562,0.641581259,16116.438,4.207269061793916
694,695,36.770116,11.126496,0.690280399,19142.641,4.282001854684426
696,697,34.357344,11.085865,0.655484152,16665.894,4.221828615257457
698,699,35.5023,12.030165,0.935743549,26380.487,4.421282808627346
700,701,37.551351,11.018987,0.680189673,19957.566,4.30010757416448
702,703,35.412049,10.802452,0.574348783,17307.218,4.238227264042442
704,705,36.528573,11.673719,0.784052239,21018.273,4.322597028657829
706,707,35.05026,11.286336,0.617276833,17477.294,4.24247419192303
708,709,32.105469,10.834356,0.966101695,20838.542,4.318867329622423
710,711,43.095269,11.5667,0.991215839,23621.955,4.373315837840442
712,713,43.848278,13.992751,1.21763861,39138.472,4.592603866418508
714,715,46.65357,12.512722,1.059494434,29362.261,4.467789494773194
716,717,39.47485,12.042909,0.936079243,24944.655,4.396977501755562
718,719,39.254819,13.401796,1.148333392,41974.169,4.622982106780618
720,721,24.16053,14.024316,1.6,47242.647,4.674334223092359
722,723,38.986403,11.245517,0.802655927,22432.141,4.350870726106888
724,725,39.308621,11.773426,0.94148441,24618.313,4.391258289054541
726,727,36.396368,11.542641,0.780155476,26075.382,4.416230679486944
728,729,42.677322,14.469241,1.242747871,67246.333,4.827668606870935
730,731,49.701271,14.40448,1.310716854,54690.828,4.737914498490911
732,733,36.969466,12.677671,1.109221266,33185.264,4.520945276951307
734,735,44.633134,12.050145,0.930051422,27372.376,4.437312497041197
736,737,46.948088,15.989859,1.852134146,60746.508,4.783521317662623
738,739,41.901338,13.570913,1.944210526,61446.565,4.788497609871096
740,741,37.60213,13.31981,1.855654188,56804.731,4.754384507570712
742,743,39.827309,13.502924,2.108910891,52891.534,4.72338616293644
744,745,44.015147,12.222398,1.698500652,45982.948,4.6625968107586475
746,747,45.457451,12.884366,1.622934402,43534.718,4.638835735623585
748,749,41.748204,13.427059,1.946929855,52710.044,4.721893378744824
750,751,40.722121,13.149254,1.65990991,54336.345,4.735090421720489
752,753,38.816119,12.902676,1.890946502,53018.936,4.724431007931866
754,755,38.668542,13.451501,1.978216612,61186.205,4.786653517444566
756,757,47.586262,14.142133,1.688418011,62832.706,4.798185763767533
758,759,42.287791,13.986486,1.571942446,67263.485,4.827779364867707
760,761,40.236003,14.3604,2.076142132,68354.506,4.834767148990638
762,763,44.604665,13.797735,1.548480463,60206.1,4.77964049561212
764,765,39.187854,13.109928,1.793195359,60754.145,4.783575913368584
766,767,42.453222,12.423012,1.766189759,47161.272,4.673585510060268
768,769,38.862968,12.977896,1.871217998,52413.153,4.71944028619207
770,771,40.235808,13.890823,2.200381679,67579.964,4.829817956089284
772,773,46.59152,13.7114,1.822935449,57678.027,4.761010395995907
774,775,39.49885,13.041779,1.823739934,58559.644,4.767598427864107
776,777,37.304187,12.97931,1.969172932,54706.169,4.7380363027793875
778,779,36.929241,12.413748,1.614367816,44488.921,4.648251872832142
780,781,37.977979,13.42928,2.054631829,73728.944,4.867638013663614
782,783,41.288521,12.224107,1.800667391,49145.217,4.691481257029077
784,785,41.684239,12.932145,1.705408324,65296.983,4.814893115475359
786,787,37.655272,13.27738,2.111427217,66528.457,4.823007450935053
788,789,40.452595,14.678715,1.666409087,91039.538,4.959230045134478
790,791,32.956865,12.642607,1.953316953,51302.333,4.710137115326004
792,793,33.996088,13.648019,1.820910973,69469.091,4.841791616187342
794,795,36.812964,13.457523,2.139497878,63991.701,4.806123654552515
796,797,35.211808,13.730656,2.059467919,71756.298,4.855860024801302
798,799,37.646978,13.922877,2.036165908,64693.282,4.810859184195577
800,801,38.539302,13.775661,2.113721303,67957.682,4.832238556898336
802,803,36.066645,13.234486,2.00698385,79126.464,4.898321758428124
804,805,40.069952,13.263804,1.936605317,62368.526,4.794965480180187
806,807,43.8798,14.349345,1.817297526,80931.19,4.908115926239999
808,809,42.195806,14.401859,1.725990598,74323.789,4.871127841726256
810,811,40.984224,12.795687,2.084639498,64139.766,4.807127371166258
812,813,42.163685,13.706015,1.895573212,70426.191,4.847734200213782
814,815,40.952758,12.362879,1.776935285,58166.772,4.764674963033599
816,817,44.016076,12.120247,1.687598046,45593.257,4.658900617571634
818,819,38.540951,10.633058,1.353694008,30074.535,4.478198921182447
820,821,43.124196,13.399648,1.832967485,65149.425,4.81391058704125
822,823,41.061084,14.017139,1.795986872,70962.054,4.8510261776798655
824,825,37.485401,11.428571,1.933884298,55518.868,4.744440602505058
826,827,40.449924,14.216017,1.791231874,67573.344,4.82977541137447
828,829,38.765824,15.68781,1.578631822,75514.556,4.87803067323412
830,831,43.647074,12.594099,1.75309653,52004.02,4.716036916641268
832,833,40.756295,12.888657,1.916642244,54381.524,4.735451374187785
834,835,43.157095,12.959717,1.641211846,55814.551,4.746747435410518
836,837,41.51518,12.323987,1.775550777,47540.504,4.67706378158355
838,839,42.030846,11.489913,1.575750469,38844.373,4.589328115748416
840,841,44.419698,12.197712,1.233951856,30959.768,4.490797697595567
842,843,39.243545,12.386627,1.639230899,45924.739,4.662046696797511
844,845,33.052714,11.035709,1.294192997,32967.08,4.518080481991587
846,847,35.977864,11.292103,1.351954513,32298.193,4.509178225362641
